id,name,url,category,description,ats_type,job_count,date_added,status
44,Poynter Institute,https://www.poynter.org/careers/,,Journalism training and media literacy; runs PolitiFact and ethics education,,0,2026-02-16,rejected
45,Institute for Nonprofit News,https://inn.org/about/careers/,,"Trade association for nonprofit newsrooms; training, funding, and infrastructure",,0,2026-02-16,rejected
46,Solutions Journalism Network,https://www.solutionsjournalism.org/careers,,Trains journalists in solutions-oriented reporting on systemic problems,,0,2026-02-16,rejected
47,Center for Public Integrity,https://publicintegrity.org/about/jobs/,,"Investigative newsroom on money in politics, inequality, and accountability",,0,2026-02-16,rejected
48,American Press Institute,https://www.americanpressinstitute.org/about/careers/,,Research and training helping news publishers adapt business models,,0,2026-02-16,rejected
49,The Trace,https://www.thetrace.org/jobs/,,Nonprofit newsroom covering gun violence in America,,0,2026-02-16,rejected
50,Nieman Foundation,https://nieman.harvard.edu/about/careers/,,Harvard-based fellowship and programs supporting journalism excellence,,0,2026-02-16,rejected
51,Free Press,https://www.freepress.net/about/jobs,,Advocacy org fighting for media justice and internet freedom,,0,2026-02-16,rejected
52,Electronic Frontier Foundation,https://www.eff.org/about/opportunities/jobs,,"Digital civil liberties; defends privacy, free speech, and innovation online",,0,2026-02-16,rejected
53,Center for Democracy and Technology,https://cdt.org/about/jobs/,,"Internet policy advocacy for privacy, free expression, and security",,0,2026-02-16,rejected
54,Data and Society Research Institute,https://datasociety.net/jobs/,,Research on social implications of data-centric technologies,,0,2026-02-16,rejected
55,Mozilla Foundation,https://foundation.mozilla.org/en/careers/,,Open internet advocacy; funds technology and policy for a healthy web,,0,2026-02-16,rejected
56,Wikimedia Foundation,https://wikimediafoundation.org/about/jobs/,,Operates Wikipedia and free knowledge projects worldwide,,0,2026-02-16,rejected
57,Internet Society,https://www.internetsociety.org/careers/,,"Global org promoting open internet development, standards, and access",,0,2026-02-16,rejected
58,Center for Humane Technology,https://www.humanetech.com/careers,,Advocacy to realign technology with humanity and reduce tech harms,,0,2026-02-16,rejected
59,Future of Life Institute,https://futureoflife.org/careers/,,Existential risk research; AI safety and emerging technology governance,,0,2026-02-16,rejected
60,Partnership on AI,https://partnershiponai.org/careers/,,Multi-stakeholder org studying AI impact on people and society,,0,2026-02-16,rejected
61,Creative Commons,https://creativecommons.org/about/team/opportunities/,,Develops free legal tools for sharing creative and academic works,,0,2026-02-16,rejected
62,International Crisis Group,https://www.crisisgroup.org/careers,,Conflict prevention and resolution through field research and advocacy,,0,2026-02-16,approved
63,Refugees International,https://www.refugeesinternational.org/careers/,,Advocacy for displaced people; independent field research on refugee crises,,0,2026-02-16,approved
64,Women for Women International,https://www.womenforwomen.org/careers,,"Supports women survivors of war with skills, resources, and community",,0,2026-02-16,rejected
65,Partners in Health,https://www.pih.org/pages/careers,,Global health org providing care in poor and underserved communities,,0,2026-02-16,rejected
66,PATH,https://www.path.org/careers/,,"International health innovation; develops vaccines, drugs, diagnostics",,0,2026-02-16,rejected
67,Population Council,https://www.popcouncil.org/careers,,"Research on health, demographics, and development issues globally",,0,2026-02-16,rejected
68,Oxfam America,https://www.oxfamamerica.org/explore/about-oxfam/careers/,,Anti-poverty and inequality org; emergency response and advocacy,,0,2026-02-16,rejected
69,Doctors Without Borders USA,https://www.doctorswithoutborders.org/careers,,Medical humanitarian org providing emergency care in conflict zones,,0,2026-02-16,rejected
70,BRAC USA,https://bracusa.org/careers/,,US arm of global development org focused on poverty alleviation,,0,2026-02-16,rejected
71,Pact,https://www.pactworld.org/careers,,International development org building resilience in marginalized communities,,0,2026-02-16,rejected
72,Global Fund for Children,https://globalfundforchildren.org/about/careers/,,Grants to grassroots organizations working with vulnerable children worldwide,,0,2026-02-16,approved
73,International Center for Research on Women,https://www.icrw.org/about/careers/,,Research and advocacy for gender equity and women empowerment globally,,0,2026-02-16,rejected
74,Grameen Foundation,https://grameenfoundation.org/about/careers,,Poverty alleviation through financial services and technology for the poor,,0,2026-02-16,rejected
75,WaterAid America,https://www.wateraid.org/us/careers,,"Clean water, sanitation, and hygiene access in developing countries",,0,2026-02-16,rejected
76,Clinton Foundation,https://www.clintonfoundation.org/about/careers/,,"Global health, economic development, climate, and education initiatives",,0,2026-02-16,rejected
77,KIPP Foundation,https://www.kipp.org/careers/,,National network of public charter schools serving underserved communities,,0,2026-02-16,rejected
78,Teach For America,https://www.teachforamerica.org/careers,,Recruits leaders to teach in high-need schools and advocate for equity,,0,2026-02-16,rejected
79,Education Trust,https://edtrust.org/about-us/careers/,,Research and advocacy to close achievement gaps in K-12 education,,0,2026-02-16,rejected
80,New Schools Venture Fund,https://www.newschools.org/careers/,,Venture philanthropy supporting education innovation and equity,,0,2026-02-16,rejected
81,TNTP,https://tntp.org/careers/,,Education consultancy improving teaching quality in high-poverty schools,,0,2026-02-16,rejected
82,Khan Academy,https://www.khanacademy.org/careers,,"Free online education platform with courses, practice, and tools",,0,2026-02-16,rejected
83,Year Up,https://www.yearup.org/careers,,Workforce development closing the opportunity divide for young adults,,0,2026-02-16,rejected
84,City Year,https://www.cityyear.org/careers/,,AmeriCorps program placing young adults as mentors in high-need schools,,0,2026-02-16,rejected
85,Jobs for the Future,https://www.jff.org/about/careers/,,Workforce and education policy to increase economic mobility,,0,2026-02-16,rejected
86,MDRC,https://www.mdrc.org/careers,,Social policy research; rigorous evaluations of programs for low-income people,,0,2026-02-16,rejected
87,Mathematica,https://www.mathematica.org/careers,,Evidence-based research and data analytics for social policy,,0,2026-02-16,rejected
88,Trust for America's Health,https://www.tfah.org/about-us/careers/,,Public health policy advocacy focused on disease prevention,,0,2026-02-16,rejected
89,de Beaumont Foundation,https://debeaumont.org/careers/,,Public health systems strengthening and workforce development,,0,2026-02-16,rejected
90,Milken Institute,https://milkeninstitute.org/about/careers/,,"Economic think tank; research on capital markets, health, and education",,0,2026-02-16,rejected
91,Direct Relief,https://www.directrelief.org/about/careers/,,Humanitarian medical aid to people affected by poverty and emergencies,,0,2026-02-16,rejected
92,Feeding America,https://www.feedingamerica.org/about-us/careers,,National food bank network fighting hunger across the US,,0,2026-02-16,approved
93,National Low Income Housing Coalition,https://nlihc.org/about/careers,,Advocacy for affordable housing policy for low-income households,,0,2026-02-16,rejected
94,Enterprise Community Partners,https://www.enterprisecommunity.org/careers,,Affordable housing and community development finance and programs,,0,2026-02-16,rejected
95,LISC,https://www.lisc.org/about-us/careers/,,Community development and affordable housing investment nationwide,,0,2026-02-16,rejected
96,Habitat for Humanity International,https://www.habitat.org/about/careers,,Affordable homebuilding and housing advocacy worldwide,,0,2026-02-16,approved
97,NeighborWorks America,https://www.neighborworks.org/About-Us/Careers,,Community development and affordable housing support network,,0,2026-02-16,rejected
98,Rocky Mountain Institute,https://rmi.org/careers/,,Clean energy transition research and market-based solutions,,0,2026-02-16,approved
99,Clean Air Task Force,https://www.catf.us/about/careers/,,Climate and clean energy technology advocacy and research,,0,2026-02-16,rejected
100,Union of Concerned Scientists,https://www.ucsusa.org/about/careers,,"Science-based advocacy on climate, energy, food, and nuclear issues",,0,2026-02-16,rejected
101,National Audubon Society,https://www.audubon.org/about/careers,,Bird conservation and habitat protection across the Americas,,0,2026-02-16,rejected
102,Oceana,https://oceana.org/careers/,,Ocean conservation advocacy; campaigns to protect marine ecosystems,,0,2026-02-16,rejected
103,World Wildlife Fund,https://www.worldwildlife.org/pages/careers,,Global wildlife conservation and environmental sustainability,,0,2026-02-16,rejected
104,Rainforest Alliance,https://www.rainforest-alliance.org/careers/,,Sustainable agriculture and forestry certification and advocacy,,0,2026-02-16,rejected
105,National Conference of State Legislatures,https://www.ncsl.org/about-us/careers,,Bipartisan org supporting state legislators with policy research and data,,0,2026-02-16,rejected
106,National League of Cities,https://www.nlc.org/about/careers/,,Advocacy and resources for municipal governments across the US,,0,2026-02-16,rejected
107,Verified Voting,https://verifiedvoting.org/about/careers/,,Election integrity through technology verification and audits,,0,2026-02-16,rejected
108,FairVote,https://fairvote.org/about/jobs/,,Electoral reform advocacy; ranked choice voting and fair representation,,0,2026-02-16,rejected
109,iMentor,https://imentor.org/about/careers,,Mentoring program connecting underserved students with college-educated mentors,,0,2026-02-16,rejected
110,College Possible,https://www.collegepossible.org/about/careers/,,College access and success coaching for low-income students,,0,2026-02-16,rejected
111,National Skills Coalition,https://nationalskillscoalition.org/about/careers/,,Workforce policy advocacy for inclusive skills training systems,,0,2026-02-16,rejected
112,Save the Children US,https://www.savethechildren.org/us/about-us/careers,,"Global child welfare; health, education, and emergency aid programs",,0,2026-02-16,approved
113,National Employment Law Project,https://www.nelp.org/about-us/careers/,,Workers rights advocacy and employment policy research,,0,2026-02-16,rejected
114,National Domestic Workers Alliance,https://www.domesticworkers.org/about/careers/,,Advocacy for domestic workers rights and labor protections,,0,2026-02-16,rejected
115,Urban Alliance,https://theurbanalliance.org/careers/,,Workforce development for underserved youth through internships,,0,2026-02-16,rejected
116,New Leaders,https://www.newleaders.org/about/careers,,Trains principals and school leaders to improve education outcomes,,0,2026-02-16,rejected
117,Bellwether Education Partners,https://bellwethereducation.org/join-us/,,Education policy and strategy consulting focused on equity,,0,2026-02-16,rejected
118,Education Pioneers,https://www.educationpioneers.org/about/careers,,Leadership development fellowships for education sector professionals,,0,2026-02-16,rejected
119,Sobrato Philanthropies,https://www.sobrato.org/careers/,Philanthropy & Foundations,"Silicon Valley family foundation supporting education, immigration, and nonprofits",,0,2026-02-17,rejected
120,Doris Duke Foundation,https://www.dorisduke.org/about/careers/,Philanthropy & Foundations,"Foundation supporting performing arts, environment, and child well-being",,0,2026-02-17,rejected
121,Eurasia Group Foundation,https://egfound.org/careers/,Policy & Governance,Geopolitical research and education on global risks and foreign policy,,0,2026-02-17,rejected
122,Results for America,https://results4america.org/about-us/careers/,Policy & Governance,Helping governments use evidence and data to improve outcomes,,0,2026-02-17,rejected
123,National Governors Association,https://www.nga.org/about/careers/,Policy & Governance,Bipartisan org supporting state governors on policy and best practices,,0,2026-02-17,rejected
124,National Academy of Public Administration,https://napawash.org/about/careers,Policy & Governance,Chartered by Congress to improve government performance,,0,2026-02-17,rejected
125,Governance Lab (GovLab at NYU),https://thegovlab.org/join-us,Policy & Governance,Research center using technology and data for governance innovation,,0,2026-02-17,rejected
126,Carnegie Council for Ethics in International Affairs,https://www.carnegiecouncil.org/about-us/job-opportunities,Policy & Governance,Ethics education for international policy and public affairs,,0,2026-02-17,rejected
127,Center for Effective Philanthropy,https://cep.org/about/careers/,Policy & Governance,Research and advisory to help foundations maximize impact,,0,2026-02-17,approved
128,Fund for Our Economic Future,https://www.thefundneo.org/about/careers/,Policy & Governance,Regional civic organization driving inclusive economic growth in Northeast Ohio,,0,2026-02-17,rejected
129,National Academy of Sciences,https://www.nationalacademies.org/about/employment,Policy & Governance,Premier scientific advisory institution informing policy,,0,2026-02-17,rejected
130,World Economic Forum,https://www.weforum.org/careers/,Policy & Governance,International organization for public-private cooperation on global issues,,0,2026-02-17,rejected
131,Center for Disaster Philanthropy,https://disasterphilanthropy.org/about-us/careers/,Policy & Governance,Expert philanthropy advisory for disaster preparedness and recovery,,0,2026-02-17,rejected
132,Chemonics International,https://www.chemonics.com/who-we-are/careers/,Global Development,International development firm implementing USAID and donor-funded projects,,0,2026-02-17,rejected
133,DAI Global,https://www.dai.com/who-we-are/careers,Global Development,"International development company working in governance, environment, and economic growth",,0,2026-02-17,rejected
134,RTI International,https://www.rti.org/careers,Global Development,Applied research institute improving human condition through science,,0,2026-02-17,rejected
135,Abt Associates,https://www.abtassociates.com/careers,Global Development,"Research and consulting for health, environment, and social policy programs",,0,2026-02-17,rejected
136,Palladium Group,https://thepalladiumgroup.com/careers,Global Development,International development advisory and management firm,,0,2026-02-17,rejected
137,Creative Associates International,https://www.creativeassociatesinternational.com/about/careers/,Global Development,"Development firm specializing in education, governance, and transition",,0,2026-02-17,rejected
138,TechnoServe,https://www.technoserve.org/about-us/careers/,Global Development,Business solutions to poverty through enterprise development in emerging markets,,0,2026-02-17,rejected
139,Winrock International,https://winrock.org/about/careers/,Global Development,Agricultural development and clean energy solutions for developing communities,,0,2026-02-17,rejected
140,IREX,https://www.irex.org/careers,Global Development,"Global development org strengthening education, media, and civil society",,0,2026-02-17,rejected
141,JSI Research and Training Institute,https://www.jsi.com/careers/,Global Development,Public health consulting and research in developing countries,,0,2026-02-17,rejected
142,Global Communities,https://globalcommunities.org/careers/,Global Development,International development org building sustainable community-driven programs,,0,2026-02-17,rejected
143,Heifer International,https://www.heifer.org/about-us/careers/,Global Development,Ending hunger and poverty through sustainable agriculture and livestock,,0,2026-02-17,rejected
144,Room to Read,https://www.roomtoread.org/careers/,Global Development,Literacy and gender equality in education across developing countries,,0,2026-02-17,rejected
145,World Vision International,https://www.worldvision.org/about-us/careers,Global Development,Christian humanitarian org tackling poverty and injustice globally,,0,2026-02-17,rejected
146,Plan International USA,https://www.planusa.org/careers/,Global Development,Childrens rights and equality for girls in developing countries,,0,2026-02-17,rejected
147,Concern Worldwide US,https://www.concernusa.org/about/careers/,Global Development,Humanitarian org tackling extreme poverty in the worlds most fragile states,,0,2026-02-17,rejected
148,Catholic Relief Services,https://www.crs.org/about/careers,Global Development,Humanitarian agency providing relief and development in over 100 countries,,0,2026-02-17,rejected
149,Devex,https://www.devex.com/jobs/at-devex,Global Development,Media platform and recruitment for the global development community,,0,2026-02-17,rejected
150,InterAction,https://www.interaction.org/careers/,Global Development,Alliance of US-based NGOs working in international development,,0,2026-02-17,rejected
151,King Baudouin Foundation USA,https://kbfus.org/about/careers/,Philanthropy & Foundations,Transatlantic philanthropy connecting European and American donors,,0,2026-02-17,approved
152,Conrad Foundation,https://www.conradchallenge.org/careers,Philanthropy & Foundations,STEM education and innovation competitions for young entrepreneurs,,0,2026-02-17,rejected
153,Tiger Foundation,https://www.tigerfoundation.org/careers,Philanthropy & Foundations,NYC-based foundation fighting poverty through youth programs,,0,2026-02-17,rejected
154,Hogg Foundation for Mental Health,https://hogg.utexas.edu/about-us/employment,Philanthropy & Foundations,Texas-based mental health philanthropy and grantmaking,,0,2026-02-17,rejected
155,Lemelson Foundation,https://www.lemelson.org/about/careers/,Philanthropy & Foundations,Foundation supporting invention and innovation for social impact,,0,2026-02-17,rejected
156,Skoll Global Threats Fund,https://skollglobalthreats.org/about/careers/,Philanthropy & Foundations,"Addressing pandemics, climate, water, nuclear, and Middle East conflict",,0,2026-02-17,rejected
157,Perigee Fund,https://perigeefund.org/about/careers/,Philanthropy & Foundations,Reproductive health and rights philanthropy,,0,2026-02-17,rejected
158,Open Government Partnership,https://www.opengovpartnership.org/about/careers-and-opportunities/,Governance & Coordination,,,0,2026-02-17,pending
159,World Justice Project,https://worldjusticeproject.org/about-us/connect/employment,Governance & Coordination,,,0,2026-02-17,pending
160,International Budget Partnership,https://internationalbudget.org/about-us/careers/,Governance & Coordination,,,0,2026-02-17,pending
161,Global Financial Integrity,https://gfintegrity.org/careers/,Anti-Corruption & Transparency,,,0,2026-02-17,pending
162,FACT Coalition,https://thefactcoalition.org/about-us/careers/,Anti-Corruption & Transparency,,,0,2026-02-17,pending
163,Natural Resource Governance Institute,https://resourcegovernance.org/working-nrgi,Anti-Corruption & Transparency,,,0,2026-02-17,pending
164,Extractive Industries Transparency Initiative,https://eiti.org/jobs,Anti-Corruption & Transparency,,,0,2026-02-17,pending
165,Search for Common Ground,https://www.careers.sfcg.org/career-openings,Governance & Coordination,,,0,2026-02-17,pending
166,Inter-American Dialogue,https://thedialogue.org/careers,Governance & Coordination,,,0,2026-02-17,pending
167,Accountability Lab,https://accountabilitylab.org/work-with-us/,Governance & Coordination,,,0,2026-02-17,pending
168,Campaign Legal Center,https://campaignlegal.org/about/careers,Democratic Governance,,,0,2026-02-17,pending
169,Democracy Forward,https://democracyforward.org/careers/,Democratic Governance,,,0,2026-02-17,pending
170,Democracy Works,https://www.democracy.works/careers,Democratic Governance,,,0,2026-02-17,pending
171,Democracy International,https://democracyinternational.com/work-with-us/,Governance & Coordination,,,0,2026-02-17,pending
172,Fund for Peace,https://fundforpeace.org/get-involved/careers/,Governance & Coordination,,,0,2026-02-17,pending
173,Center for International Policy,https://www.internationalpolicy.org/page/jobs-internships,Policy & Governance,,,0,2026-02-17,pending
174,Millennium Challenge Corporation,https://www.mcc.gov/about/careers,Evidence-Based Development,,,0,2026-02-17,pending
175,ODI Global,https://odi.org/en/careers/,Evidence-Based Development,,,0,2026-02-17,pending
176,Center for European Policy Analysis,https://cepa.org/about-cepa/work-with-us/,Policy & Governance,,,0,2026-02-17,pending
177,International Peace Institute,https://www.ipinst.org/about/employment,Governance & Coordination,,,0,2026-02-17,pending
178,Solidarity Center,https://www.solidaritycenter.org/jobs/,Governance & Coordination,,,0,2026-02-17,pending
179,Asia Foundation,https://asiafoundation.org/about/careers/,Governance & Coordination,,,0,2026-02-17,pending
